id,category,endpoint,question,generated_response,relevance,personalization,helpfulness,clarity,safety,overall_score,judge_comments,automated_evaluation,judge_model,generation_error,judge_error,timestamp
TC30,exercise_during_period_question,chatbot,"Is it okay to do heavy weightlifting during my period, or should I take it easy?","It's generally safe to do **heavy weightlifting** during your period, but it's important to listen to your body. Here are some things to consider:

- **Energy Levels**: Some people feel more fatigued during their period, while others may feel perfectly fine.
- **Cramps**: If you experience significant cramps, it might be beneficial to take it easier or opt for lighter weights.
- **Hydration**: Staying well-hydrated can help you feel better during workouts.
- **Adapt Your Routine**: If you find weightlifting too challenging, consider lighter exercises or low-impact workouts.

As always, consult a healthcare professional for personalised advice related to your specific health condition and needs.",5,3,4,5,5,4.4,"The response is relevant and encourages listening to one's body, but could have addressed Tia's specific situation more personally.",True,gpt-4o-mini,,,2026-08-10T06:30:21.696479+00:00
TC31,nutrition_cravings_question,chatbot,"I keep craving sugary food before my period, what should I eat instead?","Craving sugary foods before your period is quite common due to hormonal fluctuations. Here are some healthier alternatives to satisfy those cravings:

1. **Fruits**: Try fruits like berries, bananas, or apples. They’re naturally sweet and packed with vitamins.
2. **Dark Chocolate**: Opt for small portions of dark chocolate, which can satisfy sweet cravings and is rich in antioxidants.
3. **Nuts**: A handful of nuts can provide healthy fats and protein while also giving you a slight sweetness.
4. **Yogurt with Honey**: Choose plain yogurt and add a drizzle of honey for a nutrient-dense snack.
5. **Smoothies**: Blend fruits with spinach or kale for a refreshing drink that’s sweet and nutritious.

Remember to stay hydrated and maintain a balanced diet to help manage cravings. If you have persistent cravings or other concerns, it's always a good idea to consult a healthcare professional.",5,2,5,5,5,4.4,The advice is relevant and actionable but lacks specific personalization based on Karla's cycle data.,True,gpt-4o-mini,,,2026-08-10T06:30:26.552238+00:00
TC32,sleep_question,chatbot,"Why do I sleep so badly in the days before my period, and what can help?","Sleeping poorly in the days leading up to your period can be influenced by a variety of factors, often related to hormonal changes. Here are some common reasons and tips to help:

### Reasons for Poor Sleep Before Your Period
1. **Hormonal Fluctuations**: Changes in **progesterone** and **estrogen** can affect your sleep patterns.
2. **PMS Symptoms**: Conditions like **mood swings**, **irritability**, and physical discomfort (like cramps or bloating) can make it hard to sleep.
3. **Stress Levels**: An increased stress level can contribute to insomnia or restless sleep.

### Tips to Improve Sleep
1. **Establish a Routine**:
   - Go to bed and wake up at the same time every day.
  
2. **Create a Relaxing Environment**:
   - Make your bedroom cool, dark, and quiet. Consider using white noise or earplugs if necessary.
  
3. **Limit Screen Time**:
   - Reduce exposure to screens at least an hour before bedtime to help your body wind down.

4. **Manage Stress**:
   - Incorporate relaxation techniques like **meditation**, **deep breathing**, or gentle **yoga** into your daily routine.

5. **Stay Active**:
   - Engage in low-impact exercise, as it can promote better sleep, but try to finish workouts a few hours before bed.

6. **Consider Nutrition**:
   - Avoid heavy meals, caffeine, and alcohol close to bedtime as they can disrupt sleep.

If the sleep issues persist, it's a good idea to consult a healthcare professional for personalized advice.",5,4,5,5,5,4.8,The reply effectively addresses the user's sleep issues with practical tips tailored to their situation.,True,gpt-4o-mini,,,2026-08-10T06:30:31.984643+00:00
TC33,mood_swings_question,chatbot,My mood swings get really intense before my period. Is that normal and how do I manage it?,"**Mood swings** are a common symptom experienced by many individuals in the **luteal phase** of their menstrual cycle, which typically occurs in the days leading up to your period. This can be attributed to hormonal changes, particularly the rise and fall of **progesterone** and **estrogen**.

Here are some ways to manage intense mood swings:

1. **Maintain a balanced diet:** Eating regular, nutritious meals can help stabilize blood sugar levels and mood.
2. **Exercise regularly:** Engaging in low-impact exercise, such as walking or yoga, can boost endorphins and improve mood.
3. **Practice stress management:** Techniques like meditation, deep breathing, or mindfulness can help alleviate stress.
4. **Get enough sleep:** Aiming for 7-9 hours of quality sleep per night can help regulate mood.
5. **Keep a symptom diary:** Tracking your symptoms and moods can help identify patterns and triggers.
6. **Consult a healthcare professional:** If mood swings are severe, discussing them with a healthcare provider can be beneficial.

It's always a good idea to seek personalized advice from a healthcare professional for tailored strategies and support.",5,5,5,5,5,5.0,The response effectively addresses Delphine's specific concerns and provides practical tips.,True,gpt-4o-mini,,,2026-08-10T06:30:39.202005+00:00
TC34,late_period_question,chatbot,"My period is a few days late and I've been really stressed lately, could that be why?","Yes, stress can indeed affect your menstrual cycle and may be one of the reasons why your period is late. When you're stressed, your body can produce more of the hormone cortisol, which can interfere with the hormones that regulate your cycle. Additionally, changes in sleep patterns and other lifestyle factors due to stress can also play a role.

However, it's essential to keep in mind that there can be various reasons for a delayed period, including pregnancy, hormonal imbalances, or health conditions. If you're concerned or if the delay continues, I recommend consulting a healthcare professional for personalized guidance.",5,3,4,5,5,4.4,The response effectively addresses the user's situation while maintaining a safe approach.,True,gpt-4o-mini,,,2026-08-10T06:30:44.684678+00:00
TC35,birth_control_switch_question,chatbot,"My cycles have been different since I stopped taking birth control pills, is that expected?","Yes, it's quite **common** for your cycles to change after stopping birth control pills. When you're on hormonal contraceptives, they regulate your menstrual cycle, but once you stop, your body may take some time to readjust to its natural hormonal fluctuations. 

Here are a few things you might experience:
- **Irregular cycles**: Your cycle length may vary more than it did on the pill.
- **Changes in flow**: You could have lighter or heavier periods.
- **Different symptoms**: Cramping or PMS symptoms may change as your body readjusts.

It's usually a temporary phase, but if you notice significant irregularities or have concerns, it's a good idea to consult a healthcare professional for personalized advice.",5,2,3,4,5,3.8,The reply addresses the user's question but lacks specific context about Hafsah's profile.,True,gpt-4o-mini,,,2026-08-10T06:30:49.348807+00:00
TC36,spotting_question,chatbot,"I noticed some light spotting mid-cycle, around when I usually ovulate. Is that common?","Yes, **light spotting** around ovulation can be quite common for some people. This phenomenon, often referred to as **ovulation spotting**, can occur due to hormonal changes as your body prepares for ovulation. It typically happens around the midpoint of your cycle and is usually nothing to worry about.

However, if you notice significant changes or if you have concerns about the spotting, it's always a good idea to consult a healthcare professional for personalized advice.",5,3,4,5,5,4.4,The response is relevant and clear but lacks deeper personalization based on recent symptoms.,True,gpt-4o-mini,,,2026-08-10T06:30:54.053800+00:00
TC37,perimenopause_question,chatbot,My cycles have been getting shorter and I get hot flashes now. Is this just normal aging?,"It's common for women in their late 40s to experience changes in their menstrual cycles, which can include shorter cycle lengths and symptoms like **hot flashes**. This is often related to perimenopause, the transitional phase before menopause. 

However, each individual’s experience can vary, and while these changes may be normal, it's always best to consult a **healthcare professional** for personalized advice and to rule out any other potential issues. They can help determine if what you're experiencing is typical for your age or if further evaluation is needed.",5,3,4,5,5,4.4,The response is relevant and clear but lacks direct personalization to Deborah's specific cycle data.,True,gpt-4o-mini,,,2026-08-10T06:30:58.205207+00:00
TC38,ovulation_pain_question,chatbot,"I get a sharp pain on one side around ovulation every month, what causes that?","The sharp pain you experience on one side around ovulation is commonly referred to as **mittelschmerz**, which is German for ""middle pain."" This discomfort can occur when the ovary releases an egg during ovulation. Here are a few reasons why this happens:

1. **Follicle Rupture**: When the follicle that houses the egg bursts, it can cause sharp pain in the ovary.
2. **Fluid Release**: The fluid that is released along with the egg can irritate the lining of the abdomen, leading to pain.
3. **Ovary Movement**: The ovary may shift slightly during ovulation, causing temporary discomfort.

If the pain is severe or accompanied by other concerning symptoms, it's a good idea to consult a healthcare professional for personalized medical advice.",5,4,5,5,5,4.8,The response effectively addresses Anya's concern while providing informative and actionable insights.,True,gpt-4o-mini,,,2026-08-10T06:31:04.124023+00:00
TC39,period_pain_relief_question,chatbot,What are some safe ways to relieve really bad period cramps at home?,"Here are some **safe ways** to relieve bad period cramps at home:

1. **Heat Therapy**:
   - Use a **heating pad** or a warm water bottle on your lower abdomen for about 20 minutes.
   - Take a warm bath to relax your muscles.

2. **Gentle Exercise**:
   - Engage in light activities like **walking** or **stretching** to help improve blood circulation.

3. **Hydration**:
   - Drink plenty of **water**. Herbal teas like chamomile or ginger tea can also help.

4. **Dietary Adjustments**:
   - Eat a balanced diet rich in **fruits**, **vegetables**, and **whole grains**.
   - Some find relief by avoiding excessive **sugar**, **salt**, and **caffeine**.

5. **Over-the-Counter Pain Relief**:
   - Consider taking **NSAIDs** (like ibuprofen) as directed, if it's suitable for you.

6. **Relaxation Techniques**:
   - Practice **deep breathing**, **yoga**, or **meditation** to reduce stress and tension.

Always consult a healthcare professional for personalised medical advice, especially if cramps are severe or persist.",5,3,4,5,5,4.4,The response is mostly relevant and clear but could include more specific personalization based on Isabelle's profile.,True,gpt-4o-mini,,,2026-08-10T06:31:08.848544+00:00
TC40,breast_tenderness_question,chatbot,"My breasts get really sore and tender every month before my period, is there anything that helps?","Sore and tender breasts, often related to hormonal changes in the **luteal phase**, can be uncomfortable. Here are some suggestions that may help alleviate the symptoms:

1. **Cold compress**: Apply a cold pack to your breasts for 15-20 minutes to reduce swelling and discomfort.
2. **Supportive bra**: Wear a well-fitted and supportive bra to help minimize movement and provide comfort.
3. **Dietary changes**: Reduce salt, caffeine, and sugar intake. Incorporate more whole grains, fruits, and vegetables.
4. **Exercise**: Engage in low-impact exercises such as walking, yoga, or swimming to improve circulation and reduce tension.
5. **Pain relief medication**: Over-the-counter pain relievers like ibuprofen may help ease discomfort.
6. **Herbal supplements**: Some people find relief with evening primrose oil or vitamin E, but consult with a healthcare professional before trying supplements.

As always, it’s best to speak with a healthcare professional for personalized advice tailored to your specific needs.",5,4,5,5,5,4.8,The reply effectively addresses the user's symptoms and provides practical advice.,True,gpt-4o-mini,,,2026-08-10T06:31:15.365848+00:00
TC41,general_wellness_checkin,chatbot,How am I doing overall this month based on what I've logged?,"Based on your recent symptom logs, it looks like you've had a **good mood** on the most recent day logged, with no flow or symptoms. Here’s a summary:

- **Mood**: Good
- **Flow**: None
- **Symptoms**: None

Since you are currently in the **follicular phase**, this is a time when your energy is rising, which is great for an active lifestyle. If you have more specific questions or want to provide more data, feel free! Always consider consulting a healthcare professional for personalized insights.",5,5,4,5,5,4.8,The response effectively addresses the user's logs and provides relevant insights.,True,gpt-4o-mini,,,2026-08-10T06:31:21.728134+00:00
TC42,exam_stress_question,chatbot,I have exams this week and I'm exhausted. Any quick tips to manage stress and energy?,"Here are some quick tips to help manage **stress** and boost your **energy**:

1. **Take Breaks**: Schedule short breaks during study sessions to rest your mind. 
2. **Stay Hydrated**: Drink plenty of water to keep your body hydrated and your mind alert.
3. **Nutritious Snacks**: Eat healthy snacks like fruits, nuts, or yogurt to maintain your energy levels.
4. **Deep Breathing**: Try deep breathing exercises to calm your mind and relieve stress.
5. **Light Exercise**: Incorporate some light stretching or a quick walk to refresh your body.
6. **Get Enough Sleep**: Aim for more sleep if possible. Even a short nap can help rejuvenate you.
7. **Stay Organized**: Create a study schedule to manage your time effectively.

Remember, it's important to take care of yourself during stressful times! If you're feeling overwhelmed, consider reaching out to someone for support. Always consult a healthcare professional for personalized advice.",5,3,5,5,5,4.6,The response is relevant and practical but could include more personal context.,True,gpt-4o-mini,,,2026-08-10T06:31:25.582628+00:00
TC43,weight_change_question,chatbot,I feel like I gain water weight every month before my period. Why does that happen?,"Many individuals experience **water retention** before their period due to hormonal changes in the **luteal phase** of the menstrual cycle. Here are some key points about why this occurs:

- **Hormonal Fluctuations**: Levels of **progesterone** rise, which can cause the body to retain more fluid.
- **Sodium Retention**: Hormonal changes may also affect how the kidneys handle sodium, leading to increased water retention.
- **Increased Appetite**: Hormonal shifts may lead to cravings for salty or high-carb foods, which can also contribute to water retention.

This phenomenon is quite common and can lead to feelings of bloating or puffiness. Staying hydrated and eating a balanced diet can sometimes help alleviate these symptoms. However, it's always best to consult a healthcare professional for personalized advice.",5,3,4,5,5,4.4,The response is clear and informative but could better integrate Sofia's specific profile details.,True,gpt-4o-mini,,,2026-08-10T06:31:30.901572+00:00
TC44,acne_breakout_question,chatbot,"Why do I always break out right before my period, and what can I do about it?","Breakouts right before your period, known as **premenstrual acne**, are largely influenced by hormonal changes in your cycle, particularly the rise in **progesterone**. These fluctuations can increase oil production in skin, leading to clogged pores and acne.

Here are some strategies to help manage premenstrual acne:

1. **Maintain a consistent skincare routine**:
   - Use a gentle cleanser to reduce excess oil.
   - Include products with **salicylic acid** or **benzoyl peroxide** for acne treatment.

2. **Stay hydrated**: Drinking enough water helps keep your skin hydrated and can potentially reduce breakouts.

3. **Balanced diet**: Eating a diet rich in fruits, vegetables, and whole grains may help regulate hormones. Reducing sugar and processed foods can also support skin health.

4. **Stress management**: High stress can further worsen skin issues. Consider yoga, meditation, or other relaxation techniques.

5. **Consult a dermatologist**: If breakouts are severe or persistent, consider speaking with a dermatologist for tailored treatment options.

Always remember to consult a healthcare professional for personalized advice regarding your skin and hormonal health.",5,4,5,5,5,4.8,The response is well-structured and addresses Ruby's specific concerns effectively.,True,gpt-4o-mini,,,2026-08-10T06:31:35.947922+00:00
